engine,frame,time_ps_mda,n_res_4p0A,n_res_5p0A,n_res_6p0A,time_ps,time_ns,C4_O1_A,RS_label,RS_label_raw,signed_triple_O1_C5phenyl_C3chain_about_C4
gromacs_1k_timing,197,985.0,11,14,16,985.0,0.985,3.3933167457580566,R-like,R_like_by_product_reference,-4.095320224761963
gromacs_1k_timing,198,990.0,12,14,17,990.0,0.99,3.122022151947021,R-like,R_like_by_product_reference,-3.1614978313446045
gromacs_1k_timing,199,995.0,10,14,14,995.0,0.995,3.26425838470459,R-like,R_like_by_product_reference,-4.811323642730713
gromacs_1k_timing,200,1000.0,11,14,16,1000.0,1.0,3.0348308086395264,R-like,R_like_by_product_reference,-3.3790876865386963
gromacs_1k_timing,201,1005.0,12,14,14,1005.0,1.005,3.1574032306671143,R-like,R_like_by_product_reference,-4.16519021987915
gromacs_1k_timing,202,1010.0,10,14,17,1010.0,1.01,3.206026077270508,S-like,S_like_by_product_reference,0.8854451179504395
gromacs_1k_timing,203,1015.0,10,14,15,1015.0,1.015,3.001815795898437,R-like,R_like_by_product_reference,-3.282050371170044
gromacs_1k_timing,204,1020.0,10,14,17,1020.0,1.02,3.0817883014678955,R-like,R_like_by_product_reference,-2.4442455768585205
gromacs_1k_timing,205,1025.0,10,14,16,1025.0,1.025,3.4026312828063965,R-like,R_like_by_product_reference,-4.820688247680664
gromacs_1k_timing,206,1030.0,11,14,16,1030.0,1.03,3.1730127334594727,R-like,R_like_by_product_reference,-2.9992504119873047
gromacs_1k_timing,207,1035.0,12,14,17,1035.0,1.035,3.020117282867432,R-like,R_like_by_product_reference,-4.68854284286499
gromacs_1k_timing,208,1040.0,10,14,16,1040.0,1.04,3.1135315895080566,S-like,S_like_by_product_reference,0.8685771226882935
gromacs_1k_timing,209,1045.0,9,14,15,1045.0,1.045,3.3436989784240723,R-like,R_like_by_product_reference,-4.962190628051758
